epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.137,1.25646,1.79279,1.31143,0.75119,0.61425,0.6255,0.17273,2.48836,2.1135,2.35886,0.000657143,0.000657143,0.000657143
2,126.468,1.22808,1.17684,1.27192,0.81672,0.76829,0.88009,0.43184,1.58219,1.17156,1.36596,0.00131507,0.00131507,0.00131507
3,184.854,1.20533,0.98305,1.24796,0.87873,0.86201,0.92501,0.41905,1.67678,1.2401,1.46881,0.0019642,0.0019642,0.0019642
4,243.512,1.19236,0.89421,1.24704,0.84411,0.68276,0.78068,0.39186,1.60384,1.98769,1.61023,0.0019604,0.0019604,0.0019604
5,304.734,1.12913,0.79922,1.21357,0.92643,0.91379,0.96805,0.57363,1.35632,0.91925,1.28993,0.0019472,0.0019472,0.0019472
6,362.767,1.12324,0.76962,1.21969,0.81653,0.89483,0.91097,0.60381,1.18655,0.78414,1.12511,0.001934,0.001934,0.001934
7,420.468,1.09495,0.73012,1.19659,0.95173,0.92069,0.96809,0.63262,1.19856,0.72268,1.28836,0.0019208,0.0019208,0.0019208
8,478.387,1.06558,0.68947,1.18641,0.98156,0.91779,0.96533,0.60341,1.31858,0.77071,1.17608,0.0019076,0.0019076,0.0019076
9,540.369,1.04746,0.68863,1.17605,0.98204,0.96379,0.98745,0.61109,1.30402,0.81167,1.24407,0.0018944,0.0018944,0.0018944
10,599.066,1.02158,0.65805,1.1584,0.97901,0.96512,0.98496,0.67516,1.07928,0.57418,1.10207,0.0018812,0.0018812,0.0018812
11,658.021,1.01633,0.65107,1.15607,0.98192,0.96034,0.99157,0.72952,0.97919,0.57536,1.05215,0.001868,0.001868,0.001868
12,716.426,1.00574,0.63265,1.1456,0.95707,0.97414,0.9861,0.68748,1.03052,0.59874,1.10291,0.0018548,0.0018548,0.0018548
13,776.238,0.98487,0.61118,1.13863,0.97899,0.96388,0.98197,0.72713,0.96177,0.57229,1.1028,0.0018416,0.0018416,0.0018416
14,834.977,0.95482,0.58638,1.12722,0.98382,0.97414,0.98969,0.63885,1.21486,0.54179,1.13206,0.0018284,0.0018284,0.0018284
15,892.701,0.96048,0.58999,1.12734,0.96731,0.96034,0.98267,0.68,1.05263,0.61303,1.10181,0.0018152,0.0018152,0.0018152
16,950.6,0.96937,0.58622,1.1377,0.9696,0.97241,0.98691,0.7068,1.0016,0.55592,1.06618,0.001802,0.001802,0.001802
